,word form,frequence,,
287,campo,1455703,0,7135523
288,nostri,1453699,0,71257
289,studio,1437349,0,7045556
290,presente,1434052,0,7029394
291,bambini,1431787,0,7018292
292,settore,1429718,0,700815
293,milano,1428604,0,700269
294,senso,1415540,0,6938653
295,generale,1413437,0,6928344
296,grado,1412094,0,6921761
297,forma,1405155,0,6887748
299,dato,1398468,0,685497
300,seconda,1397653,0,6850975
301,lungo,1395711,0,6841456
302,sembra,1394933,0,6837642
303,politica,1389325,0,6810153
304,vengono,1385402,0,6790923
305,mesi,1377653,0,6752939
307,esperienza,1374786,0,6738886
308,problema,1368316,0,6707172
309,gestione,1367570,0,6703515
310,sociale,1366736,0,6699427
311,mercato,1365611,0,6693912
312,diverse,1363716,0,6684623
313,maggio,1363466,0,6683398
314,periodo,1362880,0,6680526
315,famiglia,1362018,0,66763
316,certo,1358627,0,6659678
317,regione,1350210,0,661842
318,almeno,1349715,0,6615994
319,vedere,1337743,0,655731
320,nuove,1332428,0,6531257
321,fuori,1332140,0,6529845
322,opera,1331732,0,6527845
323,personale,1329058,0,6514738
324,italiana,1328339,0,6511214
325,libro,1320038,0,6470524
326,ultimo,1318027,0,6460666
327,formazione,1312722,0,6434663
328,seguito,1306539,0,6404355
329,italiano,1304414,0,6393939
330,troppo,1301842,0,6381331
331,zona,1300686,0,6375665
332,giovani,1292196,0,6334049
333,strada,1291074,0,6328549
334,persona,1291030,0,6328333
335,quest',1290434,0,6325412
336,sicurezza,1288738,0,6317099
337,potrebbe,1288439,0,6315633
338,subito,1288172,0,6314324
339,dare,1287113,0,6309133
340,giugno,1285868,0,630303
341,tratta,1283142,0,6289668
342,presenza,1282907,0,6288516
343,governo,1278900,0,6268875
344,luogo,1278435,0,6266596
345,nuovi,1271350,0,6231867
346,porta,1265618,0,620377
347,hai,1251300,0,6133586
349,diritto,1250175,0,6128072
351,film,1247135,0,611317
352,dagli,1245815,0,61067
353,associazione,1244909,0,6102259
354,foto,1238999,0,6073289
355,amore,1238881,0,6072711
356,parole,1235784,0,605753
357,area,1234394,0,6050717
358,continua,1231445,0,6036261
359,data,1229771,0,6028056
360,provincia,1223236,0,5996023
361,davvero,1217663,0,5968705
362,azienda,1211726,0,5939603
363,cura,1209523,0,5928805
365,occasione,1208058,0,5921624
366,regionale,1202918,0,5896429
367,problemi,1202072,0,5892282
368,prodotto,1192251,0,5844141
369,rete,1190539,0,5835749
370,ormai,1190517,0,5835642
371,siano,1189609,0,5831191
372,qualcosa,1188353,0,5825034
373,arte,1182120,0,5794481
374,corpo,1181656,0,5792207
375,musica,1176236,0,5765639
376,produzione,1176033,0,5764644
377,attenzione,1172997,0,5749763
378,mare,1171737,0,5743586
379,cuore,1170712,0,5738562
380,settembre,1168492,0,572768
381,donne,1167665,0,5723626
383,gioco,1166055,0,5715735
384,fosse,1161200,0,5691936
385,sede,1159309,0,5682667
386,cultura,1158600,0,5679192
387,articolo,1157594,0,5674261
388,dice,1152085,0,5647257
389,luglio,1146221,0,5618513
390,spazio,1145244,0,5613724
391,percorso,1144523,0,561019
392,incontro,1144075,0,5607994
393,buona,1141281,0,5594298
394,ordine,1138344,0,5579902
395,unico,1134693,0,5562005
396,scelta,1132458,0,555105
397,oppure,1130797,0,5542908
398,mano,1129575,0,5536918
399,quattro,1124527,0,5512174
400,situazione,1119141,0,5485773
401,nulla,1118840,0,5484297
402,ambiente,1117164,0,5476082
403,milioni,1113544,0,5458338
404,tua,1110252,0,5442201
405,natura,1109917,0,5440559
406,voi,1108720,0,5434691
407,col,1107072,0,5426613
408,rapporto,1106093,0,5421815
409,vuole,1106037,0,542154
410,luce,1104940,0,5416163
411,inizio,1104726,0,5415114
412,state,1103724,0,5410202
413,valore,1103531,0,5409256
414,presenti,1103254,0,5407898
415,punti,1103040,0,5406849
416,forza,1100719,0,5395472
417,titolo,1097706,0,5380703
418,giornata,1094955,0,5367219
419,semplice,1089356,0,5339774
420,ottobre,1087481,0,5330583
421,condizioni,1085104,0,5318931
422,università,1080659,0,5297143
423,mezzo,1080316,0,5295462
424,conto,1079286,0,5290413
425,forte,1078566,0,5286883
426,aprile,1077598,0,5282139
427,primi,1075928,0,5273953
428,ecco,1072561,0,5257448
429,m,1071086,0,5250218
430,internazionale,1069549,0,5242684
431,avuto,1068576,0,5237915
432,marzo,1067996,0,5235072
433,fanno,1067142,0,5230886
434,cittadini,1064309,0,5216999
435,trovare,1063407,0,5212578
436,pochi,1062111,0,5206225
437,fronte,1059240,0,5192152
438,cioè,1056764,0,5180015
439,termine,1054443,0,5168638
440,guerra,1051906,0,5156202
441,tempi,1050841,0,5150982
442,ambito,1043966,0,5117282
443,piazza,1039985,0,5097768
444,nello,1038258,0,5089303
445,lavori,1037102,0,5083636
446,collaborazione,1032260,0,5059902
447,dicembre,1030964,0,5053549
448,qualsiasi,1029456,0,5046158
449,causa,1029057,0,5044202
450,successo,1028073,0,5039378
451,trova,1028064,0,5039334
452,controllo,1026737,0,503283
453,alto,1024049,0,5019654
454,idea,1023189,0,5015438
455,locali,1019604,0,4997865
456,dunque,1016395,0,4982135
457,necessario,1016289,0,4981616
458,web,1015992,0,498016
459,riferimento,1014261,0,4971675
460,maggiore,1010438,0,4952936
461,europa,1007746,0,493974
462,uomini,1003811,0,4920452
463,tema,1003602,0,4919427
464,struttura,1003061,0,4916775
465,tanti,999550,0,4899565
466,andare,995196,0,4878223
467,ultimi,994222,0,4873449
468,paesi,987388,0,483995
469,risultati,985701,0,4831681
470,ruolo,981939,0,481324
471,fondo,981925,0,4813171
472,appena,976910,0,4788589
473,italiani,973757,0,4773134
474,scritto,972238,0,4765688
475,bisogno,971631,0,4762713
476,massimo,969830,0,4753885
477,novembre,965524,0,4732778
478,casi,965353,0,4731939
479,mese,964488,0,4727699
480,Maria,964016,0,4725386
481,ultima,962620,0,4718543
482,morte,960362,0,4707475
483,comunità,957192,0,4691936
484,poter,956920,0,4690603
485,ragazzi,956652,0,4689289
486,piccolo,956483,0,4688461
487,partire,956056,0,4686368
488,possa,954399,0,4678245
489,domenica,953585,0,4674255
490,donna,951693,0,4664981
491,futuro,951232,0,4662721
492,buon,950748,0,4660349
493,gennaio,950104,0,4657192
494,richiesta,947940,0,4646585
495,studi,940580,0,4610508
496,linea,939727,0,4606327
497,padre,939717,0,4606278
498,devono,939491,0,460517
499,capacità,938865,0,4602101
500,video,936300,0,4589528
